symbol,description,exch,last,volume,high,low,close,change,average_volume,volatility,date
COE,China Online Education Group,A,26,18640,26.33,24.65,26,1.04,6227,0.0646153846153846,2026-04-15
COHN,Cohen & Co Inc,A,20.78,16408,20.785,19.59,20.78,1.49,37986,0.05750721847930704,2026-04-15
CRF,Cornerstone Total Return Fund Inc,A,7.24,874944,7.29,7.21,7.24,-0.06,0,0.011049723756906087,2026-04-15
CTGO,Contango Silver & Gold Inc,A,24.82,418471,25.9,24.69,24.82,-0.9,0,0.048751007252215844,2026-04-15
CTGO,Contango Silver & Gold Inc,A,24.82,418471,25.9,24.69,24.82,-0.9,0,0.048751007252215844,2026-04-15
CTM,Castellum Inc,A,0.7191,589124,0.724899,0.685,0.7191,0.04,0,0.05548463356973982,2026-04-15
CVM,CEL-SCI Corp,A,4.38,37804,4.4462,4.1401,4.38,0.02,957937,0.06988584474885841,2026-04-15
CVU,CPI Aerostructures Inc,A,3.44,87360,3.54,3.35,3.44,-0.05,81106,0.05523255813953487,2026-04-15
DC,Dakota Gold Corp,A,5.71,869470,5.82,5.58,5.71,0,0,0.042031523642732084,2026-04-15
DDC,DDC Enterprise Ltd,A,2.04,45714,2.12,1.95,2.04,0.06,0,0.08333333333333341,2026-04-15
DHY,Credit Suisse High Yield Credit Fund,A,1.88,1725732,1.89,1.86,1.88,-0.01,0,0.015957446808510536,2026-04-15
DNN,Denison Mines Corp Ordinary Shares (Canada),A,3.88,30216041,4.02,3.76,3.88,0.12,0,0.06701030927835046,2026-04-15
DSS,DSS Inc,A,0.9581,102950,0.98,0.8726,0.9581,0.1,1358338,0.11209685836551503,2026-04-15
DXF,Dunxin Financial Holdings Ltd,A,0.7822,22428,0.8,0.775,0.7822,0.03,43814,0.031961135259524445,2026-04-15
EAD,Allspring Income Opportunities Fund,A,6.68,168479,6.68,6.6347,6.68,0,0,0.006781437125748521,2026-04-15
ECF,Ellsworth Growth and Income Fund Ltd,A,12,25820,12,11.83,12,0.09,0,0.01416666666666666,2026-04-15
EGG,Enigmatig Ltd,A,6.92,87338,7.24,6.52,6.92,0.02,0,0.10404624277456656,2026-04-15
EIM,Eaton Vance Municipal Bond Fund,A,9.86,90522,9.89,9.82,9.86,0.04,0,0.0070993914807302525,2026-04-15
ELA,Envela Corp,A,17.48,42739,17.765,17.18,17.48,-0.07,0,0.03346681922196801,2026-04-15
ELMD,Electromed Inc,A,25.71,45069,25.87,25.15,25.71,0.5,69473,0.02800466744457419,2026-04-15
EONR,EON Resources Inc,A,0.6971,2628110,0.72,0.6725,0.6971,-0.01,0,0.06813943480131973,2026-04-15
EP,Empire Petroleum Corp,A,2.87,59338,2.8872,2.81,2.87,0.03,0,0.026898954703832727,2026-04-15
EPM,Evolution Petroleum Corp,A,4.23,259028,4.265,4.19,4.23,0,137379,0.01773049645390054,2026-04-15
EQX,Equinox Gold Corp. Common Shares,A,15.09,6228997,15.57,15.0105,15.09,-0.55,0,0.037077534791252476,2026-04-15
ERC,Allspring Multi-Sector Income Fund,A,9.26,59669,9.33,9.24,9.26,-0.01,0,0.009719222462203008,2026-04-15
ERH,Allspring Utilities and High Income Fund,A,12.44,22960,12.5,12.31,12.44,0.05,0,0.01527331189710607,2026-04-15
