symbol,description,exch,last,volume,high,low,close,change,average_volume,volatility,date
LCTX,Lineage Cell Therapeutics Inc,A,1.63,1803615,1.685,1.58,1.63,0.04,1115181,0.06441717791411042,2026-04-15
LGCY,Legacy Education Inc,A,13.4,23891,13.74,13.4,13.4,-0.39,0,0.025373134328358197,2026-04-15
LGPS,LogProstyle Inc,A,0.6785,41611,0.76,0.592,0.6785,0.02,0,0.2476050110537952,2026-04-15
LODE,Comstock Inc,A,3.1,892866,3.15,3.065,3.1,0.06,321434,0.027419354838709664,2026-04-15
LPA,Logistic Properties of the Americas,A,3.72,46871,3.86,3.47,3.72,-0.03,0,0.10483870967741926,2026-04-15
LSF,Laird Superfood Inc,A,2.77,82968,2.85,2.43,2.77,0.33,0,0.15162454873646206,2026-04-15
LUD,Luda Technology Group Ltd,A,5.8,111359,5.9846,4.44,5.8,1.15,0,0.2663103448275862,2026-04-15
MAIA,MAIA Biotechnology Inc,A,1.42,800059,1.48,1.37,1.42,0.05,0,0.07746478873239428,2026-04-15
MCRP,Micropolis AI Robotics,A,2.6,172698,2.89,2.56,2.6,0.1,0,0.12692307692307694,2026-04-15
MGLD,The Marygold Companies Inc,A,1.16,16128,1.205,1.11,1.16,-0.09,0,0.08189655172413791,2026-04-15
MHH,Mastech Digital Inc,A,6.845,25395,7.1345,6.575,6.845,0.06,58038,0.08173849525200876,2026-04-15
MI,NFT Ltd,A,0.28295,307793,0.3004,0.279,0.28295,-0.01,0,0.07563173705601688,2026-04-15
MINE,Mayfair Gold Corp. Common Shares,A,3.21,11605,3.31,3.18,3.21,-0.13,0,0.040498442367601216,2026-04-15
MITQ,Moving iMage Technologies Inc,A,0.5796,674823,0.608,0.5231,0.5796,-0.03,0,0.1464803312629399,2026-04-15
MLSS,Milestone Scientific Inc,A,0.2658,90293392,0.3038,0.2658,0.2658,-0.03,463253,0.142964635063958,2026-04-15
MMA,MMA Inc,A,0.5129,1326991,0.5618,0.4598,0.5129,0.03,0,0.19886917527783188,2026-04-15
MMA,MMA Inc,A,0.5129,1326991,0.5618,0.4598,0.5129,0.03,0,0.19886917527783188,2026-04-15
MPTI,M-Tron Industries Inc,A,66,66859,67.405,64.57,66,-1.46,0,0.04295454545454558,2026-04-15
MPU,Mega Matrix Inc,A,0.73175,66780,0.74,0.705,0.73175,0.03,0,0.04783054321831231,2026-04-15
MRT,Marti Technologies Inc,A,2.2,13422,2.2,2.11,2.2,0.08,0,0.04090909090909104,2026-04-15
MSN,Emerson Radio Corp,A,0.434,57178,0.46,0.4271,0.434,-0.01,12836,0.07580645161290332,2026-04-15
MTA,Metalla Royalty & Streaming Ltd. Common Shares,A,6.8,287594,7.03,6.8,6.8,-0.18,0,0.033823529411764766,2026-04-15
MTNB,Matinas BioPharma Holdings Inc,A,0.525,33362,0.543,0.5001,0.525,-0.01,3233683,0.08171428571428581,2026-04-15
MYO,Myomo Inc,A,0.8,309014,0.8078,0.78,0.8,0.01,603024,0.03474999999999992,2026-04-15
NAK,"Northern Dynasty Minerals, Ltd. Common Stock",A,1.91,12350616,1.98,1.88,1.91,0.01,0,0.052356020942408425,2026-04-15
NBH,Neuberger Berman Municipal Fund Inc,A,10.19,176913,10.2,10.16,10.19,0.03,0,0.003925417075564195,2026-04-15
NCL,Northann Corp,A,0.1679,305723,0.1679,0.1564,0.1679,0.01,0,0.0684931506849314,2026-04-15
NEWP,New Pacific Metals Corp. Common Shares,A,5.27,793483,5.295,5.075,5.27,0.01,0,0.041745730550284584,2026-04-15
NFGC,New Found Gold Corp Common Shares,A,2.06,1166471,2.14,2.055,2.06,-0.09,0,0.04126213592233008,2026-04-15
NG,Novagold Resources Inc.,A,9.96,2273779,10.29,9.819,9.96,-0.17,0,0.04728915662650585,2026-04-15
NHC,National Healthcare Corp,A,159.2,98518,163.8,156.44,159.2,-4.3,40703,0.04623115577889456,2026-04-15
NHS,Neuberger Berman High Yield Strategies Fund Inc,A,6.51,424430,6.58,6.47,6.51,-0.03,0,0.016897081413210495,2026-04-15
NINE,Nine Energy Service Inc,A,8.8,10033,8.8,8.66,8.8,0.04,0,0.015909090909090973,2026-04-15
NML,Neuberger Berman Energy Infrastructure & Income Fund Inc,A,9.78,110311,9.85,9.75,9.78,-0.06,0,0.010224948875255588,2026-04-15
NNVC,Nanoviricides Inc,A,1.17,259433,1.18,1.05,1.17,0.13,3840811,0.11111111111111102,2026-04-15
NRO,NEUBERGER BERMAN REAL ESTATE SECURITIES INCOME FUND INC,A,3.01,200944,3.03,2.98,3.01,0.03,0,0.016611295681063065,2026-04-15
NRXS,Neuraxis Inc,A,7,79550,7.43,6.95,7,-0.18,0,0.0685714285714285,2026-04-15
NSRX,Nasus Pharma Ltd,A,2.21,39233,2.28,2.1,2.21,-0.04,0,0.08144796380090485,2026-04-15
NTIP,Network-1 Technologies Inc,A,1.425,16690,1.45,1.38,1.425,0.03,19726,0.0491228070175439,2026-04-15
